Date,Visitor,G,Home,G,,Att.,LOG,Notes
2006-03-30,Phoenix Coyotes,5,San Jose Sharks,2,,,,
2006-03-30,Atlanta Thrashers,3,Tampa Bay Lightning,4,,,,
2006-03-31,Florida Panthers,2,Carolina Hurricanes,3,,,,
2006-03-31,Colorado Avalanche,3,Calgary Flames,6,,,,
2006-03-31,Chicago Blackhawks,3,Detroit Red Wings,2,OT,,,
2006-03-31,Dallas Stars,4,Mighty Ducks of Anaheim,5,SO,,,
2006-03-31,Pittsburgh Penguins,4,New York Islanders,0,,,,
2006-03-31,Columbus Blue Jackets,4,St. Louis Blues,2,,,,
2006-03-31,Minnesota Wild,2,Vancouver Canucks,1,SO,,,
2006-04-01,Carolina Hurricanes,2,Atlanta Thrashers,5,,,,
2006-04-01,Chicago Blackhawks,2,Columbus Blue Jackets,5,,,,
2006-04-01,Calgary Flames,4,Edmonton Oilers,1,,,,
2006-04-01,Tampa Bay Lightning,2,Florida Panthers,4,,,,
2006-04-01,Dallas Stars,0,Los Angeles Kings,1,,,,
2006-04-01,Boston Bruins,0,Montreal Canadiens,2,,,,
2006-04-01,St. Louis Blues,1,Nashville Predators,2,,,,
2006-04-01,Washington Capitals,1,Ottawa Senators,0,,,,
2006-04-01,New Jersey Devils,4,Philadelphia Flyers,1,,,,
2006-04-01,Phoenix Coyotes,4,San Jose Sharks,3,OT,,,
2006-04-01,Buffalo Sabres,0,Toronto Maple Leafs,7,,,,
2006-04-02,Vancouver Canucks,2,Mighty Ducks of Anaheim,6,,,,
2006-04-02,Detroit Red Wings,3,Minnesota Wild,2,,,,
2006-04-02,Philadelphia Flyers,4,New York Islanders,1,,,,
2006-04-02,New Jersey Devils,3,Pittsburgh Penguins,2,OT,,,
2006-04-03,Washington Capitals,5,Carolina Hurricanes,6,OT,,,
2006-04-03,Detroit Red Wings,2,Calgary Flames,1,SO,,,
2006-04-03,Chicago Blackhawks,3,Colorado Avalanche,4,,,,
2006-04-03,San Jose Sharks,3,Dallas Stars,2,OT,,,
2006-04-03,Phoenix Coyotes,1,Edmonton Oilers,7,,,,
2006-04-03,Vancouver Canucks,0,Los Angeles Kings,1,,,,
2006-04-03,Columbus Blue Jackets,3,Nashville Predators,1,,,,
2006-04-03,Atlanta Thrashers,4,Ottawa Senators,6,,,,
2006-04-03,Florida Panthers,1,Tampa Bay Lightning,4,,,,
2006-04-03,Buffalo Sabres,3,Toronto Maple Leafs,2,SO,,,
2006-04-04,Los Angeles Kings,2,Mighty Ducks of Anaheim,6,,,,
2006-04-04,St. Louis Blues,4,Minnesota Wild,5,SO,,,
2006-04-04,Boston Bruins,3,Montreal Canadiens,5,,,,
2006-04-04,Philadelphia Flyers,2,New York Rangers,3,SO,,,
2006-04-05,Ottawa Senators,4,Buffalo Sabres,5,OT,,,
2006-04-05,Phoenix Coyotes,2,Calgary Flames,5,,,,
2006-04-05,Nashville Predators,3,Chicago Blackhawks,4,,,,
2006-04-05,San Jose Sharks,2,Colorado Avalanche,1,,,,
2006-04-05,Atlanta Thrashers,5,Florida Panthers,2,,,,
2006-04-05,Pittsburgh Penguins,4,New Jersey Devils,6,,,,
2006-04-05,New York Islanders,2,Toronto Maple Leafs,3,,,,
2006-04-05,Carolina Hurricanes,4,Washington Capitals,3,SO,,,
2006-04-06,Toronto Maple Leafs,2,Boston Bruins,3,SO,,,
2006-04-06,San Jose Sharks,5,Los Angeles Kings,0,,,,
2006-04-06,Dallas Stars,5,Mighty Ducks of Anaheim,3,,,,
2006-04-06,Edmonton Oilers,1,Minnesota Wild,2,SO,,,
2006-04-06,New York Islanders,1,New York Rangers,3,,,,
2006-04-06,Montreal Canadiens,5,Ottawa Senators,3,,,,
2006-04-06,Nashville Predators,3,St. Louis Blues,0,,,,
2006-04-06,Atlanta Thrashers,2,Tampa Bay Lightning,3,SO,,,
2006-04-07,Philadelphia Flyers,4,Buffalo Sabres,2,,,,
2006-04-07,Minnesota Wild,1,Calgary Flames,2,,,,
2006-04-07,Edmonton Oilers,4,Chicago Blackhawks,3,OT,,,
2006-04-07,Columbus Blue Jackets,5,Detroit Red Wings,6,SO,,,
2006-04-07,Pittsburgh Penguins,5,Florida Panthers,1,,,,
2006-04-07,Carolina Hurricanes,4,Washington Capitals,3,,,,
2006-04-08,Carolina Hurricanes,2,Atlanta Thrashers,5,,,,
2006-04-08,New York Rangers,4,Boston Bruins,3,OT,,,
2006-04-08,Detroit Red Wings,4,Columbus Blue Jackets,2,,,,
2006-04-08,St. Louis Blues,2,Colorado Avalanche,4,,,,
2006-04-08,Mighty Ducks of Anaheim,4,Los Angeles Kings,2,,,,
2006-04-08,New Jersey Devils,3,Montreal Canadiens,2,,,,
2006-04-08,Chicago Blackhawks,1,Nashville Predators,2,SO,,,
2006-04-08,Washington Capitals,0,New York Islanders,5,,,,
2006-04-08,Buffalo Sabres,6,Ottawa Senators,2,,,,
2006-04-08,Toronto Maple Leafs,5,Philadelphia Flyers,2,,,,
2006-04-08,Dallas Stars,3,Phoenix Coyotes,2,SO,,,
2006-04-08,Pittsburgh Penguins,0,Tampa Bay Lightning,1,,,,
2006-04-08,Calgary Flames,2,Vancouver Canucks,3,OT,,,
2006-04-09,Minnesota Wild,5,Colorado Avalanche,2,,,,
2006-04-09,Tampa Bay Lightning,3,Florida Panthers,6,,,,
2006-04-09,New York Rangers,2,New Jersey Devils,3,,,,
2006-04-09,Dallas Stars,1,San Jose Sharks,4,,,,
2006-04-09,Edmonton Oilers,1,St. Louis Blues,2,,,,
2006-04-10,Washington Capitals,2,Boston Bruins,1,OT,,,
2006-04-10,Ottawa Senators,2,Montreal Canadiens,3,,,,
2006-04-10,San Jose Sharks,3,Phoenix Coyotes,2,,,,
2006-04-10,Mighty Ducks of Anaheim,4,Vancouver Canucks,2,,,,
2006-04-11,New Jersey Devils,4,Carolina Hurricanes,3,OT,,,
2006-04-11,Mighty Ducks of Anaheim,0,Calgary Flames,3,,,,
2006-04-11,Phoenix Coyotes,4,Colorado Avalanche,6,,,,
2006-04-11,Columbus Blue Jackets,2,Dallas Stars,3,,,,
2006-04-11,Edmonton Oilers,0,Detroit Red Wings,2,,,,
2006-04-11,Chicago Blackhawks,0,Minnesota Wild,2,,,,
2006-04-11,New York Islanders,3,New York Rangers,2,,,,
2006-04-11,Boston Bruins,3,Ottawa Senators,4,OT,,,
2006-04-11,Pittsburgh Penguins,3,Philadelphia Flyers,4,,,,
2006-04-11,Nashville Predators,2,St. Louis Blues,0,,,,
2006-04-11,Atlanta Thrashers,6,Tampa Bay Lightning,2,,,,
2006-04-11,Florida Panthers,5,Toronto Maple Leafs,6,OT,,,
2006-04-12,Montreal Canadiens,1,Buffalo Sabres,3,,,,
2006-04-12,San Jose Sharks,5,Vancouver Canucks,4,OT,,,
2006-04-13,Washington Capitals,3,Atlanta Thrashers,5,,,,
2006-04-13,Montreal Canadiens,4,Boston Bruins,3,,,,
2006-04-13,St. Louis Blues,1,Columbus Blue Jackets,4,,,,
2006-04-13,Colorado Avalanche,0,Calgary Flames,2,,,,
2006-04-13,Detroit Red Wings,7,Chicago Blackhawks,3,,,,
2006-04-13,Mighty Ducks of Anaheim,1,Edmonton Oilers,2,,,,
2006-04-13,Philadelphia Flyers,1,New Jersey Devils,4,,,,
2006-04-13,Minnesota Wild,2,Nashville Predators,4,,,,
2006-04-13,Toronto Maple Leafs,4,New York Islanders,3,OT,,,
2006-04-13,Florida Panthers,5,Ottawa Senators,4,OT,,,
2006-04-13,Los Angeles Kings,0,Phoenix Coyotes,3,,,,
2006-04-13,New York Rangers,3,Pittsburgh Penguins,5,,,,
2006-04-13,Vancouver Canucks,3,San Jose Sharks,5,,,,
2006-04-14,Tampa Bay Lightning,4,Carolina Hurricanes,5,SO,,,
2006-04-15,Boston Bruins,3,Atlanta Thrashers,4,,,,
2006-04-15,Chicago Blackhawks,2,Columbus Blue Jackets,5,,,,
2006-04-15,Minnesota Wild,3,Dallas Stars,4,OT,,,
2006-04-15,Washington Capitals,2,Florida Panthers,1,SO,,,
2006-04-15,Calgary Flames,1,Los Angeles Kings,2,SO,,,
2006-04-15,Buffalo Sabres,4,Montreal Canadiens,2,,,,
2006-04-15,Phoenix Coyotes,1,Nashville Predators,5,,,,
2006-04-15,Pittsburgh Penguins,4,New York Islanders,5,SO,,,
2006-04-15,New York Rangers,1,Philadelphia Flyers,4,,,,
2006-04-15,Mighty Ducks of Anaheim,3,San Jose Sharks,6,,,,
2006-04-15,Detroit Red Wings,3,St. Louis Blues,2,,,,
2006-04-15,Carolina Hurricanes,2,Tampa Bay Lightning,3,OT,,,
2006-04-15,Ottawa Senators,1,Toronto Maple Leafs,5,,,,
2006-04-15,Colorado Avalanche,3,Vancouver Canucks,4,OT,,,
2006-04-16,Toronto Maple Leafs,0,Buffalo Sabres,6,,,,
2006-04-16,Columbus Blue Jackets,3,Chicago Blackhawks,4,,,,
2006-04-16,Philadelphia Flyers,1,New Jersey Devils,5,,,,
2006-04-16,Phoenix Coyotes,3,St. Louis Blues,0,,,,
2006-04-17,Dallas Stars,2,Detroit Red Wings,3,,,,
2006-04-17,Colorado Avalanche,2,Edmonton Oilers,4,,,,
2006-04-17,Calgary Flames,3,Mighty Ducks of Anaheim,4,,,,
2006-04-17,New York Islanders,1,Pittsburgh Penguins,6,,,,
2006-04-17,Los Angeles Kings,4,San Jose Sharks,0,,,,
2006-04-17,Atlanta Thrashers,4,Washington Capitals,6,,,,
2006-04-18,Buffalo Sabres,4,Carolina Hurricanes,0,,,,
2006-04-18,Dallas Stars,4,Columbus Blue Jackets,5,OT,,,
2006-04-18,St. Louis Blues,2,Chicago Blackhawks,3,OT,,,
2006-04-18,Atlanta Thrashers,1,Florida Panthers,2,OT,,,
2006-04-18,New Jersey Devils,4,Montreal Canadiens,3,,,,
2006-04-18,Detroit Red Wings,3,Nashville Predators,6,,,,
2006-04-18,Philadelphia Flyers,4,New York Islanders,1,,,,
2006-04-18,Ottawa Senators,5,New York Rangers,1,,,,
2006-04-18,Washington Capitals,4,Tampa Bay Lightning,1,,,,
2006-04-18,Pittsburgh Penguins,3,Toronto Maple Leafs,5,,,, 
2006-10-04,Buffalo Sabres,3,Carolina Hurricanes,2,SO,,,
2006-10-04,Dallas Stars,3,Colorado Avalanche,2,OT,,,
2006-10-04,Ottawa Senators,4,Toronto Maple Leafs,1,,,,
2006-10-05,Tampa Bay Lightning,3,Atlanta Thrashers,2,SO,,,
2006-10-05,Vancouver Canucks,3,Detroit Red Wings,1,,,,
2006-10-05,Calgary Flames,1,Edmonton Oilers,3,,,,
2006-10-05,Colorado Avalanche,2,Minnesota Wild,3,OT,,,
2006-10-05,Chicago Blackhawks,8,Nashville Predators,6,,,,
2006-10-05,Washington Capitals,2,New York Rangers,5,,,,
2006-10-05,Toronto Maple Leafs,6,Ottawa Senators,0,,,,
2006-10-05,New York Islanders,3,Phoenix Coyotes,6,,,,
2006-10-05,Philadelphia Flyers,0,Pittsburgh Penguins,4,,,,
2006-10-05,St. Louis Blues,4,San Jose Sharks,5,OT,,,
2006-10-06,Los Angeles Kings,3,Anaheim Ducks,4,,,,
2006-10-06,Montreal Canadiens,4,Buffalo Sabres,5,SO,,,
2006-10-06,New Jersey Devils,4,Carolina Hurricanes,0,,,,
2006-10-06,Vancouver Canucks,3,Columbus Blue Jackets,2,OT,,,
2006-10-06,Boston Bruins,3,Florida Panthers,8,,,,
2006-10-07,Florida Panthers,0,Atlanta Thrashers,6,,,,
2006-10-07,Edmonton Oilers,1,Calgary Flames,2,,,,
2006-10-07,Columbus Blue Jackets,5,Chicago Blackhawks,4,,,,
2006-10-07,New Jersey Devils,1,Dallas Stars,3,,,,
2006-10-07,St. Louis Blues,1,Los Angeles Kings,4,,,,
2006-10-07,Nashville Predators,5,Minnesota Wild,6,,,,
2006-10-07,Buffalo Sabres,4,Ottawa Senators,3,,,,
2006-10-07,New York Rangers,5,Philadelphia Flyers,4,SO,,,
2006-10-07,Anaheim Ducks,2,Phoenix Coyotes,1,,,,
2006-10-07,Detroit Red Wings,2,Pittsburgh Penguins,0,,,,
2006-10-07,New York Islanders,0,San Jose Sharks,2,,,,
2006-10-07,Boston Bruins,3,Tampa Bay Lightning,2,,,,
2006-10-07,Montreal Canadiens,3,Toronto Maple Leafs,2,SO,,,
2006-10-07,Carolina Hurricanes,2,Washington Capitals,5,,,,
2006-10-08,Vancouver Canucks,2,Colorado Avalanche,3,,,,
2006-10-09,St. Louis Blues,0,Anaheim Ducks,2,,,,
2006-10-09,Phoenix Coyotes,1,Columbus Blue Jackets,5,,,,
2006-10-09,San Jose Sharks,4,Calgary Flames,1,,,,
2006-10-09,Atlanta Thrashers,1,Tampa Bay Lightning,0,,,,
2006-10-09,Florida Panthers,1,Toronto Maple Leafs,2,SO,,,
2006-10-10,New York Islanders,2,Los Angeles Kings,4,,,,
2006-10-10,Vancouver Canucks,1,Minnesota Wild,2,SO,,,
2006-10-10,Philadelphia Flyers,4,New York Rangers,2,,,,
2006-10-11,New York Islanders,5,Anaheim Ducks,4,SO,,,
2006-10-11,Boston Bruins,1,Atlanta Thrashers,4,,,,
2006-10-11,Phoenix Coyotes,2,Detroit Red Wings,9,,,,
2006-10-11,Carolina Hurricanes,3,Florida Panthers,6,,,,
2006-10-11,Montreal Canadiens,3,Philadelphia Flyers,1,,,,
2006-10-12,Nashville Predators,1,Chicago Blackhawks,3,,,,
2006-10-12,San Jose Sharks,4,Edmonton Oilers,6,,,,
2006-10-12,Dallas Stars,4,Los Angeles Kings,1,,,,
2006-10-12,Washington Capitals,2,Minnesota Wild,3,SO,,,
2006-10-12,Toronto Maple Leafs,6,New Jersey Devils,7,SO,,,
2006-10-12,Pittsburgh Penguins,6,New York Rangers,5,,,,
2006-10-12,Calgary Flames,1,Ottawa Senators,0,,,,
2006-10-12,Boston Bruins,2,St. Louis Blues,3,SO,,,
2006-10-13,Carolina Hurricanes,4,Atlanta Thrashers,3,,,,
2006-10-13,Buffalo Sabres,3,Detroit Red Wings,2,SO,,,
2006-10-13,Tampa Bay Lightning,2,Florida Panthers,3,,,,
2006-10-13,San Jose Sharks,6,Vancouver Canucks,4,,,,
2006-10-14,New York Rangers,4,Buffalo Sabres,7,,,,
2006-10-14,Edmonton Oilers,4,Colorado Avalanche,3,,,,
2006-10-14,Dallas Stars,4,Los Angeles Kings,1,,,,
2006-10-14,Columbus Blue Jackets,0,Minnesota Wild,5,,,,
2006-10-14,Ottawa Senators,3,Montreal Canadiens,2,SO,,,
2006-10-14,Philadelphia Flyers,2,New Jersey Devils,3,,,,
2006-10-14,Phoenix Coyotes,1,Nashville Predators,4,,,,
2006-10-14,Boston Bruins,1,New York Islanders,4,,,,
2006-10-14,Carolina Hurricanes,5,Pittsburgh Penguins,1,,,,
2006-10-14,Chicago Blackhawks,3,St. Louis Blues,4,,,,
2006-10-14,Florida Panthers,1,Tampa Bay Lightning,4,,,,
2006-10-14,Calgary Flames,4,Toronto Maple Leafs,5,OT,,,
2006-10-14,Atlanta Thrashers,4,Washington Capitals,3,OT,,,
2006-10-15,Dallas Stars,4,Anaheim Ducks,3,SO,,,
2006-10-16,Chicago Blackhawks,5,Colorado Avalanche,3,,,,
2006-10-16,Detroit Red Wings,3,Los Angeles Kings,1,,,,
2006-10-16,Nashville Predators,2,New York Islanders,1,SO,,,
2006-10-16,New Jersey Devils,2,New York Rangers,4,,,,
2006-10-16,Carolina Hurricanes,5,Tampa Bay Lightning,1,,,,
2006-10-16,Edmonton Oilers,1,Vancouver Canucks,2,,,,
2006-10-17,Philadelphia Flyers,1,Buffalo Sabres,9,,,,
2006-10-17,Vancouver Canucks,1,Edmonton Oilers,2,,,,
2006-10-17,Calgary Flames,4,Montreal Canadiens,5,,,,
2006-10-17,Dallas Stars,0,San Jose Sharks,2,,,,
2006-10-17,Phoenix Coyotes,5,St. Louis Blues,2,,,,
2006-10-18,Detroit Red Wings,1,Anaheim Ducks,4,,,,
2006-10-18,Montreal Canadiens,1,Chicago Blackhawks,2,,,,
2006-10-18,Minnesota Wild,2,Los Angeles Kings,1,OT,,,
2006-10-18,Nashville Predators,3,New York Rangers,0,,,,
2006-10-18,New Jersey Devils,2,Pittsburgh Penguins,1,,,,
2006-10-18,Colorado Avalanche,4,Toronto Maple Leafs,1,,,,
2006-10-18,Florida Panthers,2,Washington Capitals,5,,,,
2006-10-19,Washington Capitals,3,Atlanta Thrashers,4,SO,,,
2006-10-19,Calgary Flames,2,Boston Bruins,3,,,,
2006-10-19,Nashville Predators,4,New Jersey Devils,3,SO,,,
2006-10-19,Pittsburgh Penguins,4,New York Islanders,3,OT,,,
2006-10-19,Colorado Avalanche,2,Ottawa Senators,1,,,,
2006-10-19,Los Angeles Kings,4,Phoenix Coyotes,0,,,,
2006-10-19,Detroit Red Wings,1,San Jose Sharks,5,,,,
2006-10-19,Philadelphia Flyers,1,Tampa Bay Lightning,4,,,,
2006-10-20,Minnesota Wild,1,Anaheim Ducks,2,,,,
2006-10-20,Carolina Hurricanes,4,Buffalo Sabres,5,,,,
2006-10-20,Toronto Maple Leafs,4,Columbus Blue Jackets,2,,,,
2006-10-20,Chicago Blackhawks,4,Dallas Stars,5,,,,
2006-10-20,Philadelphia Flyers,2,Florida Panthers,3,,,,
2006-10-20,Vancouver Canucks,3,St. Louis Blues,2,OT,,,
2006-10-21,Florida Panthers,2,Atlanta Thrashers,4,,,,
2006-10-21,Buffalo Sabres,6,Boston Bruins,2,,,,
2006-10-21,St. Louis Blues,4,Chicago Blackhawks,3,,,,
2006-10-21,Detroit Red Wings,1,Edmonton Oilers,3,,,,
2006-10-21,Colorado Avalanche,5,Montreal Canadiens,8,,,,
2006-10-21,Vancouver Canucks,4,Nashville Predators,3,OT,,,
2006-10-21,Carolina Hurricanes,3,New York Islanders,4,OT,,,
2006-10-21,New Jersey Devils,1,Ottawa Senators,8,,,,
2006-10-21,Dallas Stars,4,Phoenix Coyotes,0,,,,
2006-10-21,Columbus Blue Jackets,3,Pittsburgh Penguins,5,,,,
2006-10-21,Minnesota Wild,4,San Jose Sharks,1,,,,
2006-10-21,New York Rangers,5,Toronto Maple Leafs,4,SO,,,
2006-10-21,Tampa Bay Lightning,6,Washington Capitals,4,,,,
2006-10-22,Anaheim Ducks,3,Los Angeles Kings,2,SO,,,
2006-10-23,San Jose Sharks,3,Columbus Blue Jackets,0,,,,
2006-10-23,Los Angeles Kings,1,Colorado Avalanche,6,,,,
2006-10-23,Vancouver Canucks,1,Dallas Stars,2,,,,
2006-10-23,Phoenix Coyotes,2,Edmonton Oilers,5,,,,
2006-10-23,Atlanta Thrashers,6,Florida Panthers,3,,,,
2006-10-23,Buffalo Sabres,4,Montreal Canadiens,1,,,,
2006-10-24,Phoenix Coyotes,1,Calgary Flames,6,,,,
2006-10-24,New Jersey Devils,2,Pittsburgh Penguins,4,,,,
2006-10-24,Ottawa Senators,6,Toronto Maple Leafs,2,,,,
2006-10-25,Edmonton Oilers,2,Anaheim Ducks,6,,,,
2006-10-25,Atlanta Thrashers,4,Carolina Hurricanes,5,OT,,,
2006-10-25,Vancouver Canucks,5,Chicago Blackhawks,0,,,,
2006-10-25,Washington Capitals,5,Colorado Avalanche,3,,,,
2006-10-25,San Jose Sharks,1,Detroit Red Wings,2,,,,
2006-10-25,Los Angeles Kings,1,Minnesota Wild,3,,,,
2006-10-25,Florida Panthers,4,New York Rangers,2,,,,
2006-10-26,Montreal Canadiens,3,Boston Bruins,2,,,,
2006-10-26,Florida Panthers,0,New Jersey Devils,2,,,,
2006-10-26,San Jose Sharks,3,Nashville Predators,4,,,,
2006-10-26,Buffalo Sabres,3,New York Islanders,0,,,,
2006-10-26,Toronto Maple Leafs,2,Ottawa Senators,7,,,,
2006-10-26,Atlanta Thrashers,2,Philadelphia Flyers,3,SO,,,
2006-10-26,Edmonton Oilers,2,Phoenix Coyotes,6,,,,
2006-10-26,Carolina Hurricanes,1,Tampa Bay Lightning,5,,,,
2006-10-27,Los Angeles Kings,0,Columbus Blue Jackets,2,,,,
2006-10-27,Detroit Red Wings,4,Dallas Stars,3,,,,
2006-10-27,Anaheim Ducks,2,Minnesota Wild,3,SO,,,
2006-10-27,Washington Capitals,2,Vancouver Canucks,3,SO,,,
2006-10-28,Ottawa Senators,1,Boston Bruins,2,,,,
2006-10-28,Atlanta Thrashers,5,Buffalo Sabres,4,SO,,,
2006-10-28,Tampa Bay Lightning,4,Carolina Hurricanes,6,,,,
2006-10-28,Nashville Predators,3,Calgary Flames,2,,,,
2006-10-28,Anaheim Ducks,3,Chicago Blackhawks,0,,,,
2006-10-28,Los Angeles Kings,2,Dallas Stars,3,,,,
2006-10-28,Washington Capitals,0,Edmonton Oilers,4,,,,
2006-10-28,Toronto Maple Leafs,5,Montreal Canadiens,4,SO,,,
2006-10-28,Columbus Blue Jackets,0,New Jersey Devils,1,,,,
2006-10-28,Florida Panthers,3,New York Islanders,4,SO,,,
2006-10-28,Pittsburgh Penguins,8,Philadelphia Flyers,2,,,,
2006-10-28,New York Rangers,7,Phoenix Coyotes,3,,,,
2006-10-28,Detroit Red Wings,3,St. Louis Blues,2,,,,
2006-10-29,Minnesota Wild,1,Colorado Avalanche,4,,,,
2006-10-29,San Jose Sharks,4,Tampa Bay Lightning,2,,,,
2006-10-30,Washington Capitals,4,Calgary Flames,2,,,,
2006-10-30,New York Rangers,1,Los Angeles Kings,4,,,,
2006-10-30,Chicago Blackhawks,0,Philadelphia Flyers,3,,,,
2006-10-30,Anaheim Ducks,6,St. Louis Blues,5,SO,,,
2006-10-30,Atlanta Thrashers,2,Toronto Maple Leafs,4,,,,
2006-10-31,San Jose Sharks,2,Florida Panthers,1,,,,
2006-10-31,Ottawa Senators,2,Montreal Canadiens,4,,,,
2006-10-31,Chicago Blackhawks,2,New York Islanders,5,,,,
2006-10-31,Nashville Predators,3,Vancouver Canucks,2,,,,
2006-11-01,New York Rangers,4,Anaheim Ducks,3,OT,,,
2006-11-01,Carolina Hurricanes,5,Atlanta Thrashers,2,,,,
2006-11-01,Colorado Avalanche,5,Columbus Blue Jackets,3,,,,
2006-11-01,St. Louis Blues,1,Dallas Stars,4,,,,
2006-11-01,Calgary Flames,2,Detroit Red Wings,3,,,,
2006-11-01,Nashville Predators,5,Edmonton Oilers,3,,,,
2006-11-01,Pittsburgh Penguins,4,Los Angeles Kings,3,OT,,,
2006-11-01,Toronto Maple Leafs,4,Tampa Bay Lightning,2,,,,
2006-11-02,Buffalo Sabres,5,Boston Bruins,4,SO,,,
2006-11-02,Montreal Canadiens,4,Carolina Hurricanes,0,,,,
2006-11-02,Detroit Red Wings,2,Chicago Blackhawks,1,,,,
2006-11-02,Toronto Maple Leafs,2,Florida Panthers,4,,,,
2006-11-02,Vancouver Canucks,2,Minnesota Wild,5,,,,
2006-11-02,New York Islanders,5,New Jersey Devils,2,,,,
2006-11-02,Tampa Bay Lightning,5,Philadelphia Flyers,2,,,,
2006-11-02,New York Rangers,3,San Jose Sharks,1,,,,
2006-11-02,Colorado Avalanche,1,St. Louis Blues,4,,,,
2006-11-03,Phoenix Coyotes,2,Anaheim Ducks,6,,,,
2006-11-03,Calgary Flames,4,Columbus Blue Jackets,5,SO,,,
2006-11-03,Dallas Stars,3,Edmonton Oilers,2,,,,
2006-11-03,Atlanta Thrashers,4,Washington Capitals,3,,,,
2006-11-04,Tampa Bay Lightning,5,Boston Bruins,6,OT,,,
2006-11-04,Toronto Maple Leafs,4,Buffalo Sabres,1,,,,
2006-11-04,Vancouver Canucks,2,Colorado Avalanche,3,,,,
2006-11-04,Columbus Blue Jackets,1,Detroit Red Wings,4,,,,
2006-11-04,Nashville Predators,4,Minnesota Wild,3,,,,
2006-11-04,New Jersey Devils,2,Montreal Canadiens,1,,,,
2006-11-04,Atlanta Thrashers,4,New York Islanders,1,,,,
2006-11-04,Carolina Hurricanes,3,Ottawa Senators,2,,,,
2006-11-04,Washington Capitals,5,Philadelphia Flyers,3,,,,
2006-11-04,Los Angeles Kings,4,Phoenix Coyotes,6,,,,
2006-11-04,Pittsburgh Penguins,2,San Jose Sharks,3,,,,
2006-11-04,Calgary Flames,3,St. Louis Blues,2,,,,
2006-11-05,Buffalo Sabres,4,New York Rangers,3,OT,,,
2006-11-06,Pittsburgh Penguins,2,Anaheim Ducks,3,OT,,,
2006-11-06,Boston Bruins,3,Atlanta Thrashers,5,,,,
2006-11-06,Tampa Bay Lightning,5,New York Islanders,1,,,,
2006-11-06,Philadelphia Flyers,1,Toronto Maple Leafs,4,,,,
2006-11-06,Dallas Stars,1,Vancouver Canucks,2,,,,
2006-11-06,Ottawa Senators,3,Washington Capitals,4,OT,,,
2006-11-07,Dallas Stars,1,Calgary Flames,3,,,,
2006-11-07,Los Angeles Kings,6,Colorado Avalanche,5,,,,
2006-11-07,Edmonton Oilers,2,Montreal Canadiens,3,SO,,,
2006-11-07,Carolina Hurricanes,2,New Jersey Devils,3,SO,,,
2006-11-07,Minnesota Wild,1,San Jose Sharks,3,,,,
2006-11-08,Ottawa Senators,4,Atlanta Thrashers,5,,,,
2006-11-08,Edmonton Oilers,0,Detroit Red Wings,3,,,,
2006-11-08,New York Rangers,4,Florida Panthers,3,SO,,,
2006-11-08,Tampa Bay Lightning,4,Pittsburgh Penguins,3,OT,,,
2006-11-09,Toronto Maple Leafs,6,Boston Bruins,4,,,,
2006-11-09,Washington Capitals,0,Carolina Hurricanes,5,,,,
2006-11-09,San Jose Sharks,7,Los Angeles Kings,3,,,,
2006-11-09,Chicago Blackhawks,1,New Jersey Devils,2,SO,,,
2006-11-09,New York Islanders,3,Philadelphia Flyers,1,,,,
2006-11-09,Dallas Stars,1,Phoenix Coyotes,0,,,,
2006-11-09,Columbus Blue Jackets,4,St. Louis Blues,2,,,,
2006-11-09,Anaheim Ducks,6,Vancouver Canucks,0,,,,
2006-11-10,New York Rangers,5,Atlanta Thrashers,2,,,,
2006-11-10,Florida Panthers,4,Buffalo Sabres,5,OT,,,
2006-11-10,Edmonton Oilers,4,Columbus Blue Jackets,1,,,,
2006-11-10,Anaheim Ducks,0,Calgary Flames,3,,,,
2006-11-10,St. Louis Blues,1,Chicago Blackhawks,3,,,,
2006-11-10,Nashville Predators,0,Detroit Red Wings,3,,,,
2006-11-10,Ottawa Senators,6,Pittsburgh Penguins,3,,,,
2006-11-11,Ottawa Senators,3,Boston Bruins,4,,,,
2006-11-11,Pittsburgh Penguins,2,Carolina Hurricanes,6,,,,
2006-11-11,Minnesota Wild,3,Los Angeles Kings,2,SO,,,
2006-11-11,Florida Panthers,2,New Jersey Devils,4,,,,
2006-11-11,Colorado Avalanche,0,Nashville Predators,1,,,,
2006-11-11,Buffalo Sabres,5,Philadelphia Flyers,4,OT,,,
2006-11-11,San Jose Sharks,2,Phoenix Coyotes,1,,,,
2006-11-11,Atlanta Thrashers,3,Tampa Bay Lightning,5,,,,
2006-11-11,Montreal Canadiens,1,Toronto Maple Leafs,5,,,,
2006-11-11,Calgary Flames,3,Vancouver Canucks,2,,,,
2006-11-11,New York Rangers,1,Washington Capitals,3,,,,
2006-11-12,Minnesota Wild,2,Anaheim Ducks,3,,,,
2006-11-12,Columbus Blue Jackets,0,Chicago Blackhawks,1,,,,
2006-11-12,Edmonton Oilers,3,St. Louis Blues,5,,,,
2006-11-13,Buffalo Sabres,7,Carolina Hurricanes,4,,,,
2006-11-13,Edmonton Oilers,2,Colorado Avalanche,1,,,,
2006-11-13,Washington Capitals,4,Florida Panthers,1,,,,
2006-11-13,San Jose Sharks,2,Los Angeles Kings,4,,,,
2006-11-13,Montreal Canadiens,6,Ottawa Senators,3,,,,
2006-11-13,Philadelphia Flyers,2,Pittsburgh Penguins,3,,,,
2006-11-14,St. Louis Blues,0,Calgary Flames,3,,,,
